Job	Company	Salary	Location
Security Analytics Engineer – Marcus – Trust and Tech Risk	Goldman Sachs	156000.0	New York, NY 10282 (Tribeca area)
Data Scientist Summer Internship 2019	BMW Technology Corporation	38500.0	Chicago, IL
Data Scientist	Grainger	73000.0	Chicago, IL 60654 (Loop area)
Campus: Data Scientist (Summer 2019 Start)	Optiver US	85000.0	Chicago, IL
Data Scientist	Crowe	126500.0	Chicago, IL 60606 (Loop area)
Data Scientist - Versay	Vail Systems, Inc.	125000.0	Chicago, IL 60606 (Loop area)
Master Data Scientist	Deloitte	89000.0	Chicago, IL 60606 (Loop area)
Data Scientist / Quantitative Analyst	S&P GLOBAL MARKET INTELLIGENCE	106500.0	Chicago, IL 60601 (Loop area)
Data Scientist, Social Science	Civis Analytics	110000.0	Chicago, IL
Associate Data Scientist	Blue Cross Blue Shield of IL, MT, NM, OK & TX	115500.0	Chicago, IL
Data Scientist	Reputation.com	116500.0	Chicago, IL
Data Scientist - Telecommunications	TransUnion	129000.0	Chicago, IL 60661 (Near West Side area)
Data Scientist	1-800-Flowers.com	89000.0	Melrose Park, IL
Data Scientist Architect	Insight	114000.0	Chicago, IL 60642 (Portage Park area)
Data Science Engineer	Mintel	120000.0	Chicago, IL
Senior Manager - Data Science	United Airlines Inc.	133500.0	Chicago, IL 60601 (Loop area)
Data Scientist	Syndigo	136500.0	Chicago, IL
Insurance Data Scientist	TransUnion	109000.0	Chicago, IL 60661 (Near West Side area)
Eicoff - Data Scientist	Ogilvy	120500.0	Chicago, IL
Data Scientist - Life Sciences	Argonne National Laboratory	87500.0	Lemont, IL 60439
Data Scientist	Capax Global LLC	116500.0	Chicago, IL
Data Scientist	KEYENCE	86500.0	Itasca, IL 60143
Data Science Consultant (Resources)	Accenture	135000.0	Chicago, IL
Data Scientist	devwrx	115500.0	Chicago, IL
Data Scientist - Decision Sciences Personal Valuation team	Conversant Media	121000.0	Chicago, IL
Data Scientist - Decision Sciences Personal Valuation team	Epsilon	121000.0	Chicago, IL
Data Scientist	Case New Holland Industrial	106500.0	Burr Ridge, IL
Analytics Developer, Data Science and Analytics	TransUnion	135000.0	Chicago, IL 60661 (Near West Side area)
Environmental Engineer/Physical Scientist/Life Scientist	U.S. Federal Government	93231.5	Chicago, IL
Specialist Director, Machine Learning, Data Scientist	KPMG	132000.0	Chicago, IL 60290 (Loop area)
Senior Software Data Engineer	Gogo Commercial Aviation	130000.0	Chicago, IL
Principal Cloud Data Engineer/Architect	Discover Financial Services	148000.0	Chicago, IL
Database Architect Consultant	IMO - Intelligent Medical Objects, Inc.	140000.0	Rosemont, IL 60018
UI Front End Developer	Molex	117500.0	Chicago, IL 60606 (Loop area)
Software Engineer	HERE Technologies	114000.0	Chicago, IL
DevOps Engineer	The University of Chicago	124500.0	Chicago, IL
Sr Software Engineer	General Electric	131000.0	Chicago, IL 60601 (Loop area)
Post Doctoral Research Fellow - NGS & Molecular Genomics	Rush University Medical Center	52500.0	Chicago, IL
Senior Managing Actuary	Blue Cross Blue Shield of IL, MT, NM, OK & TX	124000.0	Chicago, IL
Mechanical/HVAC Engineer	Argonne National Laboratory	82000.0	Lemont, IL 60439
Senior Data Science Product Manager	Blue Cross Blue Shield of IL, MT, NM, OK & TX	143500.0	Chicago, IL
Software Engineer (Java/Scala/Spark)	Nielsen	119000.0	Chicago, IL 60647
Research Coordinator	Slover Linett	45500.0	Chicago, IL
Sr. Data Scientist	Levi, Ray & Shoup, Inc	120000.0	Burr Ridge, IL 60527
029: Data Engineer - Consulting	Dataspace	175000.0	Chicago, IL
Data Scientist, Applied Machine Learning - RNA	Tempus	120000.0	Chicago, IL 60654 (Loop area)
Data Engineer/Scientist	10th Magnitude	118000.0	Chicago, IL 60606 (Loop area)
Front End Developer Angular	Arturo	95000.0	Chicago, IL
Postdoctoral Research Scientist, Vertebrate Paleontology	The Field Museum	55000.0	Chicago, IL
Sales Research Analyst	Harris & Harris, Ltd.	40000.0	Chicago, IL 60661 (Near West Side area)
Senior Software Engineer - Platform Team	Fooda	123500.0	Chicago, IL 60606 (Loop area)
Senior Scala Developer – Cloud Computing	Enterprise Peak	140000.0	Chicago, IL
Tech Lead | Engineering Manager	Civis Analytics	132000.0	Chicago, IL
Senior Devops Engineer	Tempus	114000.0	Chicago, IL
Senior Front End Engineer	PhysIQ, Inc.	115000.0	Chicago, IL 60606 (Loop area)
Senior DevOps Engineer	Civis Analytics	123000.0	Chicago, IL
DevOps Engineer	Lumere	113000.0	Chicago, IL
Summer Internship 2019 - Software Engineer (Houston)	Arundo Analytics	44000.0	Houston, TX
Data Scientist- Digital Media	David Weekley Homes	167000.0	Houston, TX
Data Scientist, Revenue Management 1	Sysco	107000.0	Houston, TX 77077 (West Houston area)
Data Scientist	CGG	114000.0	Houston, TX
Data Scientist (EG)	Pros.	115000.0	Houston, TX
Data Science Consultant (Resources)	Accenture	130000.0	Houston, TX 77006 (Montrose area)
Healthcare Data Science Consultant	Accenture	144500.0	Houston, TX 77006 (Montrose area)
INSTITUTE ASSOCIATE SCIENTIST I - IN-VITRO PHARMACOLOGY	MD Anderson Cancer Center	38000.0	Houston, TX
RESEARCH SCIENTIST - DR. KAPIL N. BHALLA'S LABORATORY	MD Anderson Cancer Center	66500.0	Houston, TX
Data Engineer- Data Modeler/Data Warehouse Developer	Tailored Brands	118500.0	Houston, TX 77072 (Sugarland area)
Director, Machine Learning Data Scientist	KPMG	122500.0	Houston, TX 77058 (Pasadena area)
Medical Lab Scientist, Lab Services - Victory Lakes Patholog...	UTMB	67000.0	League City, TX 77573
Sr Software Engineer - Houston, TX	Baker Hughes	124000.0	Houston, TX
Research Associate	Baylor College of Medicine	60000.0	Houston, TX
Java Developer	Baylor College of Medicine	106820.0	Houston, TX
MELANOMA MEDICAL ONCOLOGY- RESEARCH NURSE	MD Anderson Cancer Center	81500.0	Houston, TX
Experienced Mechanical Engineer Houston	Wiss, Janney, Elstner Associates	98500.0	Houston, TX 77043 (Spring Branch area)
Research Data Scientist	UM	119000.0	Houston, TX
Data Scientist	SelectMinds	122500.0	Houston, TX
Data Scientist - Splunk	Leidos Cyber	111500.0	Houston, TX
DevOps Specialist - Platform Team	MRI Technologies	120000.0	Houston, TX 77058 (Pasadena area)
Front-End Developer (React)	Expero	113500.0	Houston, TX
DevOps Engineer	Arundo Analytics	109000.0	Houston, TX
Software Developer	SmartPark, LLC	91500.0	Houston, TX
Full Stack Software Engineer	Arundo Analytics	126000.0	Houston, TX
Software Engineer - UI Focus	Arundo Analytics	90000.0	Houston, TX
Sponsor Funded Professional | Data Scientist	Georgia State University	70692.5	Atlanta, GA
Health Scientist	Centers for Disease Control and Prevention	126767.5	Atlanta, GA
Data Scientist - Master's Entry Level Consultant - Atlanta	Capgemini	122500.0	Atlanta, GA
Data Scientist, Data Science and Analytics	BD	99500.0	Tucker, GA
DATA SCIENTIST- Space Optimization	The Home Depot	120500.0	Atlanta, GA
Biologist	Centers for Disease Control and Prevention	108579.0	Atlanta, GA
Data Science Consultant - Supply Chain	Accenture	105000.0	Atlanta, GA 30303 (Five Points area)
Manager, Data Scientist, Machine Learning	KPMG	115000.0	Atlanta, GA 30338
Data Scientist Pricing Manager	Greensky	134000.0	Atlanta, GA
Financial Analyst II, Research-Piedmont Heart Institute, Atl...	Piedmont Healthcare	54000.0	Atlanta, GA 30318
Data Scientist - Consultant level in Atlanta!	Capgemini	135000.0	Atlanta, GA
Data Science Consultant (Resources)	Accenture	127500.0	Atlanta, GA 30303 (Five Points area)
The Carter Center: Prospect Research Analyst, Development, M...	Emory University	54000.0	Atlanta, GA
Specialist Director, Machine Learning, Data Scientist	KPMG	127500.0	Atlanta, GA 30338
CCR/Fly Ash Project Engineer	Stantec	85500.0	Atlanta, GA 30309 (Midtown area)
Theory and Modeling of Living Systems (TMLS) Postdoctoral Fe...	Emory University	44000.0	Atlanta, GA
Front-End Developer - People Analytics & Measurement	McKinsey & Company	114500.0	Atlanta, GA 30318
AI Data Science Sr. Manager	Accenture	147500.0	Atlanta, GA 30303 (Five Points area)
Pharmacology - Post Doctoral Fellow	Emory University	44000.0	Atlanta, GA
Systems Software Engineer	Emory University	94500.0	Atlanta, GA
Data Science Sr. Manager (Healthcare Payer)	Accenture	160000.0	Atlanta, GA 30303 (Five Points area)
Embedded Communications System Software/Firmware Analyst (Rx...	Georgia Tech Research Institute	90000.0	Atlanta, GA 30318
Data Scientist for AI Platform	DecisionIQ, Inc.	110000.0	Atlanta, GA
030: Data Engineer - Consulting	Dataspace	175000.0	Atlanta, GA
Operations Research Scientist - 11754376	Aptonet Inc.	87500.0	Atlanta, GA 30309 (Midtown area)
Statistical Quantitative Analyst (SAS Experience Required)	Microf	67500.0	Roswell, GA 30076
Cloud Data Engineer	Cloudreach	130500.0	Atlanta, GA
Software Engineer	Konnektive LLC	77500.0	Roswell, GA
Front End Engineer, Connect	Loyal	98000.0	Atlanta, GA
Data Scientist	City of Dallas, TX	107507.5	Dallas, TX
Director, AI and NLP Data Scientist	KPMG	93000.0	Dallas, TX 75215 (South Boulevard-Park Row area)
Marketing Research Specialist	Society of Petro Eng.	43000.0	Richardson, TX
Azure Data Architect	Quisitive	147000.0	Dallas, TX
Regulatory Analyst - Human Research Protection Program	UT Southwestern Medical Center	58000.0	Dallas, TX
Business Systems Analyst, Global Supply Chain	JUUL Labs	87000.0	Dallas, TX
Security Incident Response Engineer – Marcus – Trust & Tech...	Goldman Sachs	128000.0	Richardson, TX
Software Engineering Manager - Home Health	AXXESS CONSULT INC	132500.0	Dallas, TX
Financial Analyst II - Hamon Center for Therapeutic Oncology...	UT Southwestern Medical Center	57000.0	Dallas, TX
Sr Product Manager	AT&T	126000.0	Plano, TX
Systems Engineer - US	ITL USA	89500.0	Richardson, TX
Sr Manager, Data Science	7-Eleven	129500.0	Irving, TX
Senior Product Manager	Givelify	122500.0	Dallas, TX
Senior Front-end Developer	Ansira	102500.0	Dallas, TX
O365 Architect	Quisitive	115500.0	Dallas, TX
Senior AEM Developer	Ansira	107000.0	Dallas, TX
Azure Application Architect	Quisitive	169000.0	Dallas, TX
Azure Infrastructure Architect	Quisitive	142000.0	Dallas, TX
Marketing Application / Solution Architect	NOKIA	135000.0	Irving, TX 75039
Senior Machine Learning and Artificial Intelligence Data Sci...	ProForce Innovations	159500.0	Dallas-Fort Worth, TX
Software Architect	Event Dynamic	133000.0	Dallas, TX
Azure Infrastructure Architect (IaaS)	Quisitive	148500.0	Dallas-Fort Worth, TX
Sr Product Manager	CBRE	119000.0	Dallas, TX
Applied Data Scientist	Yelp	127500.0	San Francisco, CA
Data Scientist, Product	Slack	122500.0	San Francisco, CA
2019 Summer Intern - Data Scientist, Walmart International	Walmart Stores	131500.0	San Bruno, CA 94066
Data Scientist, Operations	Square	119000.0	San Francisco, CA 94103 (South Of Market area)
Data Scientist	Globant	132000.0	San Francisco, CA 94103 (South Of Market area)
Expert Data Scientist	Pacific Gas And Electric Company	139500.0	San Francisco, CA 94105 (Financial District area)
Product Data Scientist	Twitter	153500.0	San Francisco, CA 94103 (South Of Market area)
Product Data Scientist	King.com	135000.0	San Francisco, CA
Data Scientist - Forecasting	Capital One	132000.0	San Francisco, CA
Data Scientist | Shared Rides	Uber	147000.0	San Francisco, CA 94103 (South Of Market area)
Data Scientist, Recommendation and Ranking	Etsy	136000.0	San Francisco, CA
Data Scientist, Neuroimaging	BlackThorn Therapeutics	157000.0	San Francisco, CA
Data Scientist, Cash App	Square	130000.0	San Francisco, CA 94103 (South Of Market area)
Data Scientist	Varo Money	119500.0	San Francisco, CA
Data Scientist	Coherent, Inc.	130500.0	Richmond, CA
Data Scientist	LimeBike	163500.0	San Francisco Bay Area, CA
Data Scientist	RiskIQ	127500.0	San Francisco, CA 94103 (South Of Market area)
Data Systems Analyst	University of California San Francisco	89000.0	San Francisco, CA
Data Scientist	Walmart Stores	115000.0	San Bruno, CA 94066
Data Science Lead - San Francisco	Bind Benefits	121000.0	San Francisco, CA 94103 (South Of Market area)
Biorepository Research Data Systems Analyst	University of California San Francisco	91500.0	San Francisco, CA
Associate Data Scientist	Ten-X	159500.0	San Mateo, CA
Part-time instructor of Statistics for Data Science and Mach...	Kaplan Test Prep	110000.0	San Francisco, CA 94105 (Financial District area)
Data Scientist	Snowflake Computing	125000.0	San Mateo, CA
Data Scientist	Eaze	146000.0	San Francisco, CA
Data Scientist	Coherent Germany	131500.0	Richmond, CA 94806
Data Scientist (Multiple Levels)	Oracle	158500.0	San Francisco, CA 94109 (Nob Hill area)
Data Scientist, Risk	Square	143000.0	San Francisco, CA 94103 (South Of Market area)
Data Scientist | Rider Experience	Uber	145500.0	San Francisco, CA 94103 (South Of Market area)
Data Scientist	Earnest	145000.0	San Francisco, CA 94110 (Mission area)
Product Data Scientist - Quip	Salesforce	127500.0	San Francisco, CA 94105 (Financial District area)
Data Scientist	Grammarly, Inc.	140000.0	San Francisco, CA 94104 (Financial District area)
Data Scientist, Product analytics	StubHub	118500.0	San Francisco, CA 94105 (Financial District area)
Data Scientist	Zeus Living	128500.0	San Francisco, CA
Data Scientist	Walmart eCommerce	115000.0	San Bruno, CA 94066
2019 PhD Data Scientist Internship - Risk	Uber	154500.0	San Francisco, CA 94105 (Financial District area)
Data Scientist	Change Healthcare	129000.0	Emeryville, CA
Staff Data Scientist	Walmart eCommerce	141500.0	San Bruno, CA 94066
Head of Data Science, Growth	Dropbox	148500.0	San Francisco, CA 94102 (Downtown area)
Data Science Instructor, Senior Data Scientist	Galvanize	179000.0	San Francisco, CA
Data Scientist, Imaging, Personalized Healthcare (PHC)	Genentech	163500.0	South San Francisco, CA 94080
Data Scientist - Machine Learning Specialist	Upstart	125000.0	San Carlos, CA
Data Scientist – Intern (Summer 2019)	C3	169500.0	Redwood City, CA 94063
Data Scientist - New Mobility Optimization (Bikes, Scooters)	Uber	138500.0	San Francisco, CA 94103 (South Of Market area)
NLP DATA SCIENTIST / ANALYTIC CONSULTANT 4	Wells Fargo	122500.0	San Francisco, CA
Environmental Engineer/Physical Scientist/Life Scientist	U.S. Federal Government	94531.0	San Francisco, CA
IT Data Scientist / Business Systems Analyst	SQA Solution	120500.0	South San Francisco, CA
Product Analytics Lead, Data Science	Google	106500.0	San Bruno, CA
Planning and Research Analyst	San Mateo County Community College District	110664.0	Redwood City, CA
Machine Learning Engineer	Synapse Financial Technologies Inc	115000.0	San Francisco, CA
Mechanical Engineering Intern, 3-D Printing	Mettler Toledo	72500.0	Oakland, CA
Part-time instructor of Statistics for Data Science and Mach...	Kaplan	128000.0	San Francisco, CA 94105 (Financial District area)
Software Engineer Internship - Merch Tech	Walmart eCommerce	131000.0	San Bruno, CA 94066
Data Science Manager, Education	Chan Zuckerberg Initiative	87000.0	Redwood City, CA
Software Engineer- Data Streaming	Change.org	177500.0	San Francisco, CA 94103 (South Of Market area)
eCommerce Full Stack Engineer	PepsiCo	124000.0	San Francisco, CA
Full Stack Data Architect	RingCentral	131500.0	Belmont, CA
Data Warehouse Engineer	Komodo Health	132500.0	San Francisco, CA
Construction Control Representative	US Department of the Army	104090.5	San Francisco, CA
Software Engineer (Machine Learning)	Clerkie	125000.0	San Francisco, CA
Research Post Doctoral Fellow	Kaiser Permanente	53500.0	Oakland, CA
Software Engineer, ARCore	Google	130000.0	San Francisco, CA 94105 (Financial District area)
Data Science and Machine Learning - Technical Director	Salesforce	178000.0	San Francisco, CA 94105 (Financial District area)
Lecturer - Sutardja Center for Entrepreneurship & Technology	University of California Berkeley	110100.0	Berkeley, CA
Software Engineer, Imaging	Google	139500.0	San Francisco, CA 94105 (Financial District area)
Fullstack Software Engineer - Talent Products	Uber	154500.0	San Francisco, CA 94105 (Financial District area)
Senior Software Engineer, Data Platform	Rigetti Computing	121500.0	Berkeley, CA
Senior Product Manager, Artificial Intelligence	Zillow Group	126000.0	San Francisco, CA 94102 (Downtown area)
Software Engineer, Customer Engineering Team	Benchling	147500.0	San Francisco, CA 94103 (South Of Market area)
Senior Software Engineer, Data Analytics	Autodesk	130000.0	San Francisco, CA 94105 (Financial District area)
Data Quality Statistical Analyst	U.S. District Court - District of Arizona	59832.5	Phoenix, AZ
Data Processing - Test Engineer	NantEnergy, Inc.	90500.0	Scottsdale, AZ 85258 (North Scottsdale area)
Industrial Engineer - Data Scientist	ViaSat	114000.0	Tempe, AZ
NLP DATA SCIENTIST / ANALYTIC CONSULTANT 4	Wells Fargo	103000.0	Phoenix, AZ
OPERATIONS RESEARCH	US Department of the Navy	98797.0	Phoenix, AZ 85032 (Paradise Valley area)
GENERAL PHYSICAL SCIENTIST	US Department of the Navy	67085.5	Phoenix, AZ 85032 (Paradise Valley area)
ENVIRONMENTAL SCIENTIST 3 - COMPLIANCE OFFICER	State of Arizona	50000.0	Phoenix, AZ 85007 (Central City area)
Physicist	US Department of the Navy	98797.0	Phoenix, AZ 85032 (Paradise Valley area)
TRANSPORTATION PLANNER MANAGER	State of Arizona	70000.0	Phoenix, AZ 85007 (Central City area)
Staff Civil/Structural Engineer - T&D Substation	Burns & McDonnell	96000.0	Phoenix, AZ
Data Scientist - Operations Research	Carvana	91500.0	Tempe, AZ
Data Scientist	Brightside	115500.0	Chandler, AZ
Postdoctoral Fellow: Bioinformatics	Phoenix Children's Hospital & University of Arizon...	55842.0	Phoenix, AZ 85004 (Central City area)
Big Data Solutions Architect	ClearScale	134000.0	Mesa, AZ 85204 (West Central area)
SOFTWARE ENGINEER	SYSTEMS ONCOLOGY	87500.0	Scottsdale, AZ
Senior Data Science Engineer	Carvana	125000.0	Tempe, AZ
Backend Engineer	Radius AI	117500.0	Phoenix, AZ
Sr. Software Engineer	CipherLoc Corporation	122000.0	Scottsdale, AZ 85255 (North Scottsdale area)
Data Scientist	City of Tacoma	120692.0	Tacoma, WA 98402 (Newtacoma area)
Data Scientist, Applied Analytics	Time Warner	115000.0	Seattle, WA
Data Scientist, SEO	Zillow Group	127500.0	Seattle, WA 98101 (Downtown area)
Data Scientist	Time Warner	117500.0	Seattle, WA
Data Scientist	Rover	130000.0	Seattle, WA
Program Manager/ Data Scientist	Inabia Solutions and Consulting	115000.0	Redmond, WA 98052
Principal Data Science Lead	Microsoft	117500.0	Redmond, WA
Data Scientist, Analytics - Brand Safety & Integrity Lead	Facebook	136000.0	Seattle, WA 98101 (Downtown area)
FullStack Developer	Highbrow Technologies	88500.0	Bellevue, WA
Software Engineer, Search & Discovery	Branch	149000.0	Seattle, WA
Engineer	City of Tacoma	94952.0	Tacoma, WA 98402 (Newtacoma area)
Junior Full-Stack Software Developer - Agile Team	BOEING	115500.0	Bellevue, WA
Software Development Engineer- Paid Marketing	Groupon	125000.0	Seattle, WA 98101 (Downtown area)
Software Developer 3	Oracle	121500.0	Bellevue, WA 98004 (Downtown area)
AI and Analytics Research Software Engineer	Cray	123000.0	Seattle, WA 98164 (Downtown area)
Software Engineering Manager	Microsoft	126500.0	Redmond, WA
Senior Software Engineer- Machine Learning	USA, Bellevue, WA	152000.0	Bellevue, WA
FRL AR/VR Software Engineer	Facebook	110000.0	Redmond, WA
Software Engineer, Backend (Multiple levels)	The Climate Corporation	142500.0	Seattle, WA
Staff UX/UI Designer	Gigamon	112500.0	Seattle, WA
ADMINISTRATIVE SPECIALIST	University of Washington	63500.0	Seattle, WA
Research Software Engineer (Algorithm Design)	Intellectual Ventures Management	109500.0	Bellevue, WA
Software Development Engineer - Bounty Board	Twitch	135000.0	Seattle, WA
Experienced,Systems Engineer Support Analyst	BOEING	100000.0	Everett, WA 98204 (Holly area)
Senior Full-Stack Software Developer	BOEING	127500.0	Bellevue, WA
Senior Software Engineer - Machine Learning	Snowflake Computing	138000.0	Seattle, WA
Software Developer - Big Data / Application Development Tool...	Oracle	129500.0	Bellevue, WA 98004 (Downtown area)
Sr. Software Engineer	BOEING	111500.0	Mukilteo, WA 98275
FRL Tracking Software Engineer	Facebook	109000.0	Redmond, WA
senior software engineer, Retail Operations - Seattle, WA	Starbucks	147500.0	Seattle, WA
Data Scientist	Proofpoint	131000.0	Broomfield, CO
Genomic Data Scientist - Cultivation R&D Team	Charlotte's Web	117500.0	Broomfield, CO
Agriculture Data Scientist - Agriculture Commodity Research...	McKinsey & Company	143500.0	Denver, CO
Geospatial Data Science - Researcher II	National Renewable Energy Laboratory	98000.0	Golden, CO 80401
Manager, Data Scientist, Machine Learning	KPMG	115000.0	Denver, CO 80202 (Lodo area)
Sr Professional Research Asst/Data Analyst	University of Colorado	50000.0	Aurora, CO
Operations Research Analyst	US Department of the Air Force	113620.5	Buckley AFB, CO
Data Scientist	Avanade	151500.0	Denver, CO
Systems Engineer Junior- Modeling & Analysis	BOEING	109000.0	Aurora, CO 80011 (Norfolk Glen area)
Sr Professional Research Asst	University of Colorado	65000.0	Aurora, CO
Systems Analyst - Electronic Research Administration (eRA)	University of Colorado	63818.0	Aurora, CO
Arctic Research Support and Logistics Services Program – Sci...	Jacobs	77000.0	Englewood, CO
Guidance Navigation & Control Engineer (Entry Level)	BOEING	116000.0	Aurora, CO 80011 (Norfolk Glen area)
Postdoctoral Researcher - Buildings Advanced Manufacturing a...	National Renewable Energy Laboratory	55000.0	Golden, CO 80401
Postdoctoral Researcher – Circular Economy for Clean Energy...	National Renewable Energy Laboratory	60500.0	Golden, CO 80401
